,district,year,yield_mt,log_yield,district_yield_mean,demean_yield,k-fold_prediction,k-fold_district_prediction_mean,k-fold_demean_prediction,logo_prediction,logo_district_prediction_mean,logo_demean_prediction
356,Nyimba,2018,1.7358836,0.43709761609155084,0.41929517718937737,0.01780243890217348,0.4097624075303441,0.3874115388578472,0.022350868672496915,0.3516347375108809,0.35313589357624303,-0.001501156065362108
357,Nyimba,2019,1.231844629,0.3486639576864157,0.41929517718937737,-0.07063121950296164,0.35924116640855175,0.3874115388578472,-0.028170372449295433,0.42105826666792745,0.35313589357624303,0.06792237309168442
358,Nyimba,2020,1.979363062,0.4741234291014803,0.41929517718937737,0.05482825191210294,0.40192525550720726,0.3874115388578472,0.014513716649360076,0.367157399099774,0.35313589357624303,0.014021505523530986
359,Nyimba,2021,1.409938802,0.38200601423828706,0.41929517718937737,-0.037289162951090304,0.3961035048201368,0.3874115388578472,0.008691965962289605,0.2909633666832657,0.35313589357624303,-0.06217252689297731
360,Petauke,2016,1.5849327,0.41244924050574017,0.41060678613101304,0.0018424543747271316,0.4340501911172412,0.4204501627915495,0.013600028325691682,0.4369186328603061,0.36695883605667373,0.06995979680363235
361,Petauke,2017,1.6370506,0.42111846316087875,0.41060678613101304,0.010511677029865718,0.41430418716250467,0.4204501627915495,-0.006145975629044842,0.24803054071545866,0.36695883605667373,-0.11892829534121507
362,Petauke,2018,1.3331778,0.3679478355004061,0.41060678613101304,-0.04265895063060693,0.4679390179877182,0.4204501627915495,0.04748885519616869,0.4260954531251539,0.36695883605667373,0.05913661706848017
363,Petauke,2019,1.434668962,0.3864399192466667,0.41060678613101304,-0.024166866884346327,0.34798461482821336,0.4204501627915495,-0.07246554796333615,0.33653490861813196,0.36695883605667373,-0.030423927438541776
364,Petauke,2020,1.557734902,0.40785552975766715,0.41060678613101304,-0.0027512563733458895,0.4066732663110525,0.4204501627915495,-0.013776896480497014,0.5171886499412883,0.36695883605667373,0.1502298138846146
365,Petauke,2021,1.93649813,0.4678297286147192,0.41060678613101304,0.057222942483706185,0.4517496993425669,0.4204501627915495,0.031299536551017415,0.23698483107970342,0.36695883605667373,-0.12997400497697031
366,Samfya,2016,3.2976162,0.633227628078473,0.6025861818240784,0.030641446254394578,0.6365946536771822,0.5988437106107479,0.03775094306643423,0.7518554589268147,0.577835804778308,0.17401965414850673
367,Samfya,2017,3.1133325,0.6141938169924458,0.6025861818240784,0.01160763516836738,0.6126489582455351,0.5988437106107479,0.013805247634787188,0.6357588429142005,0.577835804778308,0.0579230381358925
368,Samfya,2018,3.1026773,0.6130673584631697,0.6025861818240784,0.010481176639091316,0.5997692548812875,0.5988437106107479,0.0009255442705395911,0.5531355944609203,0.577835804778308,-0.024700210317387672
369,Samfya,2019,2.432941189,0.5356663634282107,0.6025861818240784,-0.06691981839586769,0.5418732505151317,0.5988437106107479,-0.05697046009561624,0.527771236492243,0.577835804778308,-0.05006456828606498
370,Samfya,2020,2.574809717,0.5532529297577298,0.6025861818240784,-0.04933325206634864,0.5539540635441552,0.5988437106107479,-0.04488964706659271,0.6070003102240746,0.577835804778308,0.029164505445766653
371,Samfya,2021,3.635632449,0.6661089942244411,0.6025861818240784,0.06352281240036273,0.6482220828011956,0.5988437106107479,0.04937837219044772,0.3914933856515944,0.577835804778308,-0.18634241912671357
372,Senanga,2016,0.60891116,0.20653206411955607,0.15631078861512457,0.050221275504431506,0.21031984907200413,0.1609975311430537,0.04932231792895042,0.3044113653678864,0.2719723984860989,0.03243896688178749
373,Senanga,2017,0.59547389,0.2028897013394903,0.15631078861512457,0.046578912724365734,0.20202885342884452,0.1609975311430537,0.04103132228579082,0.21744407953210973,0.2719723984860989,-0.05452831895398916
